,1. open,2. high,3. low,4. close,5. volume
2024-06-21 19:59:00,207.2,207.23,207.18,207.22,15370.0
2024-06-21 19:58:00,207.22,207.24,207.2,207.21,1078.0
2024-06-21 19:57:00,207.21,207.22,207.2,207.219,2863.0
2024-06-21 19:56:00,207.269,207.27,207.2,207.21,3936.0
2024-06-21 19:55:00,207.25,207.28,207.23,207.27,2148.0
2024-06-21 19:54:00,207.3,207.31,207.23,207.24,4057.0
2024-06-21 19:53:00,207.3,207.31,207.28,207.3,976.0
2024-06-21 19:52:00,207.32,207.32,207.292,207.3,1523.0
2024-06-21 19:51:00,207.32,207.33,207.3,207.3,4050.0
2024-06-21 19:50:00,207.3,207.34,207.3,207.32,1264.0
2024-06-21 19:49:00,207.32,207.34,207.3,207.32,154.0
2024-06-21 19:48:00,207.301,207.34,207.3,207.34,1719.0
2024-06-21 19:47:00,207.3,207.34,207.3,207.3,1338.0
2024-06-21 19:46:00,207.32,207.34,207.3,207.31,1622.0
2024-06-21 19:45:00,207.32,207.34,207.3,207.34,906.0
2024-06-21 19:44:00,207.34,207.34,207.3,207.34,236.0
2024-06-21 19:43:00,207.33,207.35,207.3,207.34,1596.0
2024-06-21 19:42:00,207.33,207.34,207.3,207.34,4106.0
2024-06-21 19:41:00,207.34,207.34,207.32,207.335,1302.0
2024-06-21 19:40:00,207.33,207.34,207.325,207.33,218.0
2024-06-21 19:39:00,207.34,207.35,207.31,207.34,1764.0
2024-06-21 19:38:00,207.31,207.31,207.3,207.3,4676.0
2024-06-21 19:37:00,207.29,207.31,207.29,207.31,2379.0
2024-06-21 19:36:00,207.31,207.31,207.29,207.3,901.0
2024-06-21 19:35:00,207.3,207.325,207.26,207.295,1886.0
2024-06-21 19:34:00,207.3,207.31,207.285,207.285,2746.0
2024-06-21 19:33:00,207.29,207.34,207.29,207.3,1651.0
2024-06-21 19:32:00,207.3,207.3,207.285,207.3,1512.0
2024-06-21 19:31:00,207.34,207.34,207.28,207.29,1173.0
2024-06-21 19:30:00,207.31,207.35,207.27,207.305,3937.0
2024-06-21 19:29:00,207.31,207.35,207.3,207.33,1638.0
2024-06-21 19:28:00,207.34,207.35,207.315,207.315,1220.0
2024-06-21 19:27:00,207.34,207.36,207.34,207.35,3160.0
2024-06-21 19:26:00,207.35,207.37,207.34,207.35,1317.0
2024-06-21 19:25:00,207.34,207.37,207.34,207.355,121.0
2024-06-21 19:24:00,207.37,207.37,207.34,207.355,157.0
2024-06-21 19:23:00,207.355,207.37,207.34,207.34,960.0
2024-06-21 19:22:00,207.38,207.38,207.34,207.37,254.0
2024-06-21 19:21:00,207.38,207.38,207.341,207.35,201.0
2024-06-21 19:20:00,207.38,207.38,207.35,207.36,790.0
2024-06-21 19:19:00,207.4,207.4,207.36,207.4,114.0
2024-06-21 19:18:00,207.4,207.41,207.355,207.37,4353.0
2024-06-21 19:17:00,207.41,207.41,207.36,207.4,1945.0
2024-06-21 19:16:00,207.37,207.44,207.35,207.41,19653.0
2024-06-21 19:15:00,207.35,207.37,207.34,207.37,2643.0
2024-06-21 19:14:00,207.37,207.37,207.345,207.35,1598.0
2024-06-21 19:13:00,207.35,207.37,207.34,207.37,2446.0
2024-06-21 19:12:00,207.35,207.36,207.32,207.35,7928.0
2024-06-21 19:11:00,207.35,207.36,207.33,207.35,5515.0
2024-06-21 19:10:00,207.37,207.4,207.33,207.36,1568.0
2024-06-21 19:09:00,207.385,207.4,207.37,207.38,1778.0
2024-06-21 19:08:00,207.385,207.4,207.37,207.37,1091.0
2024-06-21 19:07:00,207.37,207.4,207.36,207.4,3112.0
2024-06-21 19:06:00,207.4,207.4,207.365,207.385,3412.0
2024-06-21 19:05:00,207.39,207.4,207.38,207.4,1538.0
2024-06-21 19:04:00,207.4,207.42,207.39,207.4,3097.0
2024-06-21 19:03:00,207.41,207.42,207.4,207.41,1379.0
2024-06-21 19:02:00,207.419,207.42,207.41,207.419,525.0
2024-06-21 19:01:00,207.46,207.46,207.4,207.41,632.0
2024-06-21 19:00:00,207.44,207.46,207.43,207.445,776.0
2024-06-21 18:59:00,207.42,207.46,207.42,207.43,302.0
2024-06-21 18:58:00,207.415,207.43,207.41,207.43,728.0
2024-06-21 18:57:00,207.415,207.43,207.4,207.415,500.0
2024-06-21 18:56:00,207.42,207.43,207.4,207.41,260.0
2024-06-21 18:55:00,207.43,207.44,207.4,207.42,1120.0
2024-06-21 18:54:00,207.45,207.45,207.41,207.43,99.0
2024-06-21 18:53:00,207.41,207.45,207.41,207.42,1509.0
2024-06-21 18:52:00,207.43,207.44,207.4,207.425,3535.0
2024-06-21 18:51:00,207.46,207.47,207.41,207.43,4832.0
2024-06-21 18:50:00,207.47,207.47,207.46,207.46,831.0
2024-06-21 18:49:00,207.47,207.48,207.46,207.47,274.0
2024-06-21 18:48:00,207.46,207.49,207.46,207.48,2021.0
2024-06-21 18:47:00,207.48,207.48,207.46,207.48,1420.0
2024-06-21 18:46:00,207.47,207.49,207.47,207.48,743.0
2024-06-21 18:45:00,207.48,207.48,207.46,207.47,2591.0
2024-06-21 18:44:00,207.5,207.5,207.47,207.47,4370.0
2024-06-21 18:43:00,207.54,207.56,207.46,207.49,15402.0
2024-06-21 18:42:00,207.55,207.56,207.52,207.54,420.0
2024-06-21 18:41:00,207.53,207.57,207.52,207.55,902.0
2024-06-21 18:40:00,207.53,207.53,207.52,207.53,1480.0
2024-06-21 18:39:00,207.545,207.57,207.52,207.54,331.0
2024-06-21 18:38:00,207.54,207.57,207.52,207.545,310.0
2024-06-21 18:37:00,207.53,207.56,207.52,207.56,469.0
2024-06-21 18:36:00,207.55,207.57,207.53,207.545,188.0
2024-06-21 18:35:00,207.55,207.57,207.52,207.545,320.0
2024-06-21 18:34:00,207.54,207.58,207.53,207.58,2238.0
2024-06-21 18:33:00,207.55,207.57,207.52,207.55,111.0
2024-06-21 18:32:00,207.57,207.58,207.53,207.55,439.0
2024-06-21 18:31:00,207.52,207.58,207.52,207.58,71.0
2024-06-21 18:30:00,207.59,207.59,207.52,207.55,2667.0
2024-06-21 18:29:00,207.56,207.59,207.55,207.58,98.0
2024-06-21 18:28:00,207.57,207.59,207.53,207.55,1062.0
2024-06-21 18:27:00,207.58,207.59,207.555,207.57,100.0
2024-06-21 18:26:00,207.53,207.59,207.53,207.55,385.0
2024-06-21 18:25:00,207.58,207.59,207.53,207.58,3843.0
